name,description,source
滅瘢痕,以凍淩頻熨之，良。（《千金方》）,夏冰
闢禳時疫,半天河水，飲之。（《醫林集要》,半天河
身體白駁,取樹木孔中水洗之，搗桂末唾和敷之，日再上。（張文仲《備急方》）,半天河
目不得瞑,乃陽氣盛不得入于陰，陰氣虛，故目不得瞑。治法飲以半夏湯，用流水千裏外者八升，揚之萬遍，取其清五升煮之，炊葦薪火，置秫米一升，半夏五合，徐炊令竭爲一升半，去滓飲汁一小杯，日三飲，以知爲度。詳半夏下。（《靈樞經》,流水
汗後奔豚,茯苓桂枝甘草大棗湯，治發汗後臍下悸，欲作奔豚者。茯苓一兩，炙甘草二錢半，桂枝三錢，大棗二枚。以甘瀾水二升，先煮茯苓，納諸藥煮服之，日三。（張仲景《金匱要略》）,流水
服藥過劑煩悶,東流水飲一、二升。（《肘後方》）,流水
九竅出血,酒後熱痢，洗目中膚翳，治人大驚九竅四肢指歧皆出血，以水 面。和朱砂服，令人好顔色，鎮心安神。,井華水
衄血不止,葉氏用新汲水，随左右洗足即止，累用有效,井華水
衄血不止,用冷水 面,井華水
衄血不止,冷水浸紙貼囟上，以熨鬭熨之，立止,井華水
衄血不止,用冷水一瓶，淋射頂上及啞門上。或以濕紙貼之。,井華水
金瘡血出不止,冷水浸之即止。（《延夀方》）,井華水
犬咬血出,以水洗，至血止，綿裹之。（《千金方》）,井華水
蠍虿螫傷,以水浸故布拓之，暖即易。（《千金方》）,井華水
魚骨哽咽,取水一杯，合口向水，張口取水氣，哽當自下。（《肘後方》）,井華水
中砒石毒,多飲新汲井水，得吐利佳。（《集簡方》）,井華水
中烏喙毒,多飲新汲井水，得吐利佳。（《集簡方》）,井華水
中蒙汗毒,飲冷水即安。（《濟急方》）,井華水
中煤炭毒,一時暈倒，不救殺人。急以清水灌之。（唐瑤《經驗方》）,井華水
服藥過劑，卒嘔不已,飲新汲水一升。（《肘後方》）,井華水
燒酒醉死,急以新汲水浸其發，外以故帛浸濕，貼其胸膈，仍細細灌之，至蘇乃已。（《瀕湖集簡方》）,井華水
飲酒齒痛,井水頻含漱之。（《直指方》）,井華水
破傷風病,用火命婦人取無根水一盞，入百草霜調捏作餅，放患處。三、五換如神，此蔣亞香方也。（《談野翁試驗方》）,井華水
墜損腸出,冷噴其身面，則腸自入也。,井華水
眼睛突出一二寸者,以新汲水灌漬睛中，數易之，自入。（《梅師方》）,井華水
時行火眼,患人每日于井上。視井旋匝三遍，能洩火氣。（《集玄方》）,井華水
心悶汗出不識人,新汲水和蜜飲之，甚效。（《千金方》）,井華水
嘔吐陽厥卒死者,飲新汲水三升佳。（《千金方》）,井華水
霍亂吐瀉,勿食熱物，飲冷水一碗，仍以水一盆浸兩足，立止。（《急救良方》）,井華水
厭禳瘟疫,臘旦除夜，以小豆、川椒各七七粒投井中，勿令人知，能卻瘟疫,井華水
厭禳瘟疫,元旦以大麻子三七粒，投井中。,井華水
口氣臭惡,正旦含井華水吐棄廁下，數度即瘥也。（《肘後方》）,井華水
心腹冷痛,男子病，令女人取水一杯飲之；女人病，令男子取水一杯飲之。（《肘後方》）,井華水
寒熱注病,坐石槽中，平旦用冷水灌，雲當至百。灌至八十，熱氣乃蒸出，囂囂然高二、三尺。滿百灌，乃使燃火溫床，濃覆而卧，良久冷汗出，以粉撲之而癒。,井華水
