,title,compound,content
0,"夏冰
",灭瘢痕,以冻凌频熨之，良。（《千金方》）
1,"半天河
",辟禳时疫,半天河水，饮之。（《医林集要》）
2,"半天河
",身体白驳,取树木孔中水洗之，捣桂末唾和敷之，日再上。（张文仲《备急方》）
3,"流水
",目不得瞑,乃阳气盛不得入于阴，阴气虚，故目不得瞑。治法饮以半夏汤，用流水千里外者八升，扬之万遍，取其清五升煮之，炊苇薪火，置秫米一升，半夏五合，徐炊令竭为一升半，去滓饮汁一小杯，日三饮，以知为度。详半夏下。（《灵枢经》）
4,"流水
",汗后奔豚,茯苓桂枝甘草大枣汤，治发汗后脐下悸，欲作奔豚者。茯苓一两，炙甘草二钱半，桂枝三钱，大枣二枚。以甘澜水二升，先煮茯苓，纳诸药煮服之，日三。（张仲景《金匮要略》）
5,"流水
",服药过剂烦闷,东流水饮一、二升。（《肘后方》）
6,"井华水
",九窍出血,方见主治下。
7,"井华水
",衄血不止,叶氏用新汲水，随左右洗足即止，累用有效。
8,"井华水
",一方,用冷水面。
9,"井华水
",一方,冷水浸纸贴囟上，以熨斗熨之，立止。
10,"井华水
",一方,用冷水一瓶，淋射顶上及哑门上。或以湿纸贴之。
11,"井华水
",金疮血出不止,冷水浸之即止。（《延寿方》）
12,"井华水
",犬咬血出,以水洗，至血止，绵裹之。（《千金方》）
13,"井华水
",蝎虿螫伤,以水浸故布拓之，暖即易。（《千金方》）马汗入疮或马毛入疮，肿入腹，杀人。以冷水浸之，频易水，仍饮好酒，立瘥。（《千金方》）
14,"井华水
",鱼骨哽咽,取水一杯，合口向水，张口取水气，哽当自下。（《肘后方》）
15,"井华水
",中砒石毒,多饮新汲井水，得吐利佳。（《集简方》）
16,"井华水
",中乌喙毒,方同上。
17,"井华水
",中蒙汗毒,饮冷水即安。（《济急方》）
18,"井华水
",中煤炭毒,一时晕倒，不救杀人。急以清水灌之。（唐瑶《经验方》）
19,"井华水
",服药过剂，卒呕不已,饮新汲水一升。（《肘后方》）
20,"井华水
",烧酒醉死,急以新汲水浸其发，外以故帛浸湿，贴其胸膈，仍细细灌之，至苏乃已。（《濒湖集简方》）
21,"井华水
",饮酒齿痛,井水频含漱之。（《直指方》）
22,"井华水
",破伤风病,用火命妇人取无根水一盏，入百草霜调捏作饼，放患处。三、五换如神，此蒋亚香方也。（《谈野翁试验方》）
23,"井华水
",坠损肠出,方见主治下。
24,"井华水
",眼睛突出一二寸者,以新汲水灌渍睛中，数易之，自入。（《梅师方》）
25,"井华水
",时行火眼,患人每日于井上。视井旋匝三遍，能泄火气。（《集玄方》）
26,"井华水
",心闷汗出不识人,新汲水和蜜饮之，甚效。（《千金方》）
27,"井华水
",呕吐阳厥卒死者,饮新汲水三升佳。（《千金方》）
28,"井华水
",霍乱吐泻,勿食热物，饮冷水一碗，仍以水一盆浸两足，立止。（《急救良方》）
29,"井华水
",厌禳瘟疫,腊旦除夜，以小豆、川椒各七七粒投井中，勿令人知，能却瘟疫。
30,"井华水
",又法,元旦以大麻子三七粒，投井中。
31,"井华水
",口气臭恶,正旦含井华水吐弃厕下，数度即瘥也。（《肘后方》）
32,"井华水
",心腹冷痛,男子病，令女人取水一杯饮之；女人病，令男子取水一杯饮之。（《肘后方》）
33,"井华水
",寒热注病,方见发明下。
34,"井华水
",火病恶寒,方见发明下。
35,"井华水
",疔毒疽疮,凡手指及诸处有疮起，发痒，身热恶寒，或麻木，此极毒之疮也。急用针刺破，挤去恶血，候血尽，口噙凉水吮之，水温再换，吮至痛痒皆住即愈，此妙法也。（《保寿堂方》）
36,"井华水
",妇人将产,井华水服半升，不作运。（《千金方》）
37,"井华水
",初生不啼,取冷水灌之，外以葱白茎细鞭之，即啼。（《全幼心鉴》）
38,"粮罂中水
",噎疾,古冢内罐罂中水，但得饮之即愈，极有神效。（《寿域方》）
39,"地浆
",热渴烦闷,地浆一盏，饮之。（《圣惠方》）
40,"地浆
",干霍乱病,不吐不利，胀痛欲死。地浆三、五盏服即愈。大忌米汤。（《千金方》）
41,"地浆
",服药过剂闷乱者,地浆饮之。（《肘后方》）
42,"地浆
",闭口椒毒吐白沫,身冷欲死者。地浆饮之。（张仲景《金匮方》）
43,"地浆
",中野芋毒,土浆饮之。（《集简方》）
44,"地浆
",黄鱼毒,食此鱼，犯荆芥，能害人。服地浆解之。（《集简方》）
45,"地浆
",中砒霜毒,地浆调铅粉服之，立解。（《集玄方》）
46,"热汤
",伤寒初起,取热汤饮之，候吐则止。（陈藏器《本草》）初感风寒，头痛憎寒者。用水七碗，烧锅令赤，投水于内，取起再烧再投，如此七次，名沸汤，乘热饮一碗，以衣被覆头取汗，神效。（《伤寒蕴要》）
47,"热汤
",忤恶卒死,铜器或瓦器盛热汤，隔衣熨其腹上，冷即易，立愈。（陈藏器《本草》）
48,"热汤
",霍乱转筋,以器盛汤熨之，仍令蹋器，使足底热彻，冷则易。（《嘉本草》）
49,"热汤
",暑月死,以热汤徐徐灌之，小举其头，令汤入腹，即苏。（《千金方》）
50,"热汤
",火眼赤烂紧闭目,以热汤沃之，汤冷即止，频沃取安，妙在闭目。或加薄荷、防风、荆芥煎汤沃之，亦妙。（赵原阳《济急方》）
51,"热汤
",金疮血出不止,以故布蘸热汤之。（《延寿书》）
52,"热汤
",代指肿痛,麻沸汤渍之，即安。（《千金方》）
53,"热汤
",痈肿初起,以热汤频沃之，即散也。（《集简方》）
54,"热汤
",冻疮不瘥,热汤洗之。（陈藏器）马汗入疮，肿痛欲死。沸汤温洗，即瘥。（《千金方》）
55,"热汤
",蝎虿螫伤,温汤渍之，数易，至旦愈。（华佗治彭城夫人方）
56,"热汤
",蛇绕不解,热汤淋之，即脱。（《千金方》）
57,"浆水
",霍乱吐下,酸浆水，煎干姜屑，呷之。（《兵部手集》）
58,"浆水
",过食脯腊,筋痛闷绝。浆水煮粥，入少鹰屎，和食。（孙真人方）
59,"浆水
",滑胎易产,酸浆水和水少许，顿服。（《产宝》）
60,"浆水
",手指肿痛,浆水入少盐，热渍之，冷即易之。（孙真人方）
61,"浆水
",面上黑子,每夜以暖浆水洗面，以布揩赤，用白檀香磨汁涂之。（《外台秘要》）
62,"浆水
",骨哽在咽,磁石（火醋淬）、陈橘红（焙）、多年浆水脚（炒），等分为末，别以浆水脚和丸芡子大，每含咽一丸。（《圣济录》）
63,"磨刀水
",小便不通,磨刀交股水一盏，服之效。（《集简方》）
64,"磨刀水
",肛门肿痛，欲作痔疮,急取屠刀磨水服，甚效。（《集简方》）
65,"磨刀水
",盘肠生产，肠干不上者,以磨刀水少润肠，煎好磁石二杯，温服，自然收上，乃扁鹊方也。
66,"磨刀水
",蛇咬毒攻入腹,以两刀于水中相摩，饮其汁。（《救急方》）
67,"磨刀水
",耳中卒痛,磨刀铁浆，滴入即愈。（《活人心统》）
68,"白炭
",卒然咽噎,炭末蜜丸，含咽。（《千金方》）白虎风痛，日夜走注，百节如啮。炭灰五升，蚯蚓屎一升，红花七捻，和熬。以醋拌之，用故布包二包，更互熨痛处，取效。（《圣惠方》）久近肠风（下血）。用紧炭三钱，枳壳（烧存性）五钱。为末。每服三钱，五更米饮下一服，天明再服，当日见效。忌油腻毒物。（《普济方》）
69,"白炭
",汤火灼疮,炭末，香油调涂。（《济急方》）
70,"白炭
",白癞头疮,白炭烧红，投沸汤中，温洗之取效。（《百一方》）
71,"白炭
",阴囊湿痒,桴炭、紫苏叶末，扑之。（《经验方》）
72,"灯火
",搅肠沙痛,阴阳腹痛，手足冷，但身上有红点。以灯草蘸油点火，淬于点上。（《济急方》）
73,"灯火
",小儿诸惊,仰向后者，灯火淬其囟门、两眉际之上下。眼翻不下者，淬其脐之上下。不省人事者，淬其手足心、心之上下。手拳不开、目往上者，淬其顶心、两手心。撮口出白沫者，淬其口上下、手足心。（《小儿惊风秘诀》）
74,"灯火
",百虫咬伤,以灯火熏之，出水妙。（《济急方》）
75,"灯火
",杨梅毒疮,方广《心法附余》∶用铅汞结砂、银朱各二钱，白花蛇一钱。为末，作纸捻七条。初日用三条，自后日用一条，香油点灯于烘炉中，放被内盖卧，勿透风。须食饱口含椒茶，热则吐去，再含。
76,"灯火
",神灯熏法,用银朱二钱，孩儿茶、龙挂香、皂角子各一钱，为末，以纸卷作灯心大，长三寸。每用一条，安灯盏内，香油浸点，置水桶中，以被围坐，用鼻吸烟咽之，口含冷茶，热则吐去。日熏二次。三日后口中破皮，以陈酱水漱之。
77,"灯火
",神灯照法,治杨梅疮，年久破烂坑陷者。用银朱、水粉、线香各三钱，乳香、没药各五分，片脑二分。为末，以纸卷作捻，浸油点灯照疮，日三次，七日见效。须先服通圣散数帖，临时口含椒茶，以防毒瓦斯入齿也。
78,"灯火
",年深疥癣，遍身延蔓者,硫黄、艾叶研匀作捻，浸油点灯，于被中熏之。以油涂口鼻耳目，露之。（《集玄方》）
79,"白垩
",衄血不止,白土末五钱，井华水调服，二服除根。（《瑞竹堂方》）
80,"白垩
",水泄不化，日夜不止,白垩（）、干姜（炮）各一两，楮叶（生研二两）。为末，糊丸绿豆大。每米饮下二十丸。（《普济方》）翻胃吐食，男妇皆治。白善土（赤，以米醋一升淬之，再再淬，醋干为度），取一两（研），干姜二钱半（炮）。为末。每服一钱，调下。服至一斤以上为妙。（《千金翼》）
81,"白垩
",卒暴咳嗽,白善土粉、白矾各一两。为末，姜汁糊丸梧子大。临卧姜汤服二十丸。（《普济方》）风赤烂眼，倒睫拳毛。
82,"白垩
",华佗方,用白土一两，铜青一钱。为末。每以半钱泡汤洗。《干坤生意》∶加焰硝半两。为末，汤泡杏仁杵，和丸皂子大。每用凉水浸一丸，洗眼。（《乾坤秘韫》）
83,"白垩
",小儿热丹,白土一分，寒水石半两。为末。新水调涂。（钱乙《小儿方》）
84,"白垩
",痱子瘙痒,旧屋梁上刮赤白垩末，敷之。（《普济方》）
85,"白垩
",代指肿痛,猪膏和白善土，敷之。（《肘后方》）
86,"白垩
",疮不干,白善土研末，生油调搽。（《集玄方》）
87,"赤土
",身面印文刺破,以醋调赤土敷之，干又易，以黑灭为度。（《千金方》）
88,"黄土
",小儿吃土,用干黄土一块，研末，浓煎黄连汤调下。《救急方》
89,"黄土
",乌纱惊风,小儿惊风，遍身都乌者。急推向下，将黄土一碗，捣末，入久醋一钟，炒热包定熨之，引下至足，刺破为妙。（《小儿秘诀》）
90,"黄土
",卒患心痛,画地作王字，撮取中央土，水和一升服，良。（陈藏器《本草》）
91,"黄土
",目卒无见,黄土搅水中，澄清洗之。（《肘后方》）牛马肉毒及肝毒。取好土三升，水煮，清一升服，即愈。
92,"黄土
",一方,入头发寸截和之，发皆贯肝而出也。（《肘后方》）
93,"黄土
",内痔痛肿,朝阳黄土、黄连末、皮硝各一两。用猪胆汁同研如泥，每日旋丸枣大，纳入肛内，过一夜，随大便去之。内服乌梅、黄连二味丸药。（孙氏《集效方》）颠扑欲死，一切伤损，从高坠下，及木石所迮，落马扑车，淤血凝滞，气绝欲死者，亦活。用净土五升蒸热，以故布重裹作二包，更互熨之。勿大热，恐破肉，取痛止则已，神效之方。（孙真人《千金方》）
94,"黄土
",杖疮未破,干黄土末，童尿入鸡子清调涂刷上，干即上，随以热水洗去，复刷复洗，数十次，以紫转红为度。仍刷两胯，以防血攻阴也。（《摄生方》）
95,"黄土
",汤火伤灼,醋调黄土，涂之。（《谈野翁方》）
96,"黄土
",蜈蚣螫伤,画地作王字，内取土掺之，即愈。（《集简方》）
97,"黄土
",蜂蚁叮螫,反手取地上土敷之，或入醋调。（《千金方》）
98,"黄土
",蠼尿疮,画地作蠼形，以刀细取腹中土，唾和涂之，再涂即愈。
99,"黄土
",孙真人云,予得此疾，经五、六日不愈，或教此法，遂瘳。乃知万物相感，莫晓其由也。（《千金方》）
100,"东壁土
",急心痛,五十年陈壁土、枯矾各二钱。为末，蜜丸，艾汤服。（《集玄方》）
101,"东壁土
",霍乱烦闷,向阳壁土，煮汁服。（《圣济录》）药毒烦闷欲死者。东壁土调水三升，顿饮之。（《肘后方》）
102,"东壁土
",解乌头毒,不拘川乌、草乌毒。用多年陈壁土，泡汤服之。冷水亦可。（《通变要法》）
103,"东壁土
",六畜肉毒,东壁土末，水服一钱，即安。（《集玄方》）
104,"东壁土
",目中翳膜,东壁土细末，日点之，泪出佳。（《肘后方》）
105,"东壁土
",肛门凸出,故屋东壁上土一升，研末，以长皂荚挹末粉之，仍炙皂荚，更互熨之。（《外台秘要》）
106,"东壁土
",痱子瘙痒,干壁土末敷之，随手愈。（《普济方》）
107,"东壁土
",耳疮唇疮,东壁土和胡粉敷之。（《救急方》）破经年，脓水不绝。用百年茅屋厨中壁土为末，入轻粉调敷，半月即干愈。（《永类方》）
108,"东壁土
",诸般恶疮,拔毒散∶东墙上土、大黄等分。为末，用无根井华水调搽，干再上。（《瑞竹堂方》）
109,"东壁土
",发背痈疖多年,烟熏壁土、黄柏等分，为末。姜汁拌调摊贴之，更以茅香汤调服一钱匕。（《经验方》）
110,"烧尸场上土
",好魇多梦,烧人灰，置枕中、履中，自止。（《本草拾遗》）尸厥猝死，不知人者。烧尸场土二、三钱，擂细，汤泡灌之，即活。如无，以灶心土代之。（何氏方）
111,"烧尸场上土
",小儿夜啼,烧尸场土，置枕边。（《集简方》）
112,"烧尸场上土
",脚底多汗,烧人场上土，铺于鞋底内蹉之。灰亦可。（《集玄方》）
113,"冢上土
",肠痈,死人冢上土，作泥涂之，良。《千金方》）
114,"胡燕窠土
",湿疥疮,胡燕窠大者，用抱子处土，为末，以淡盐汤洗拭，干敷之，日一上。（《小品方》）
115,"胡燕窠土
",黄水肥疮,燕窠土一分，麝香半分。研敷之。（《善济方》）浸淫湿疮发于心下者，不早治杀人。用胡燕窠中土，研末，水和敷。（葛氏）
116,"胡燕窠土
",口角烂疮,燕窠泥敷之，良。（《救急方》）
117,"胡燕窠土
",白秃头疮,百年屋下燕窠泥、窠。研末，剃后麻油调搽。（《圣济录》）蠼尿疮绕身汁出。以燕窠中土和猪脂、苦酒敷之。（《外台秘要》）瘭疽恶疮，着手足肩背，累累如赤豆，出汁。剥痂，以温醋、米泔洗净，用胡燕窠土和百日男儿屎，敷之。（《千金方》）皮肤中毒，名症疰。用醋和燕窠土敷之。（《千金方》）
118,"胡燕窠土
",风瘙瘾疹,胡燕窠土，水和敷之。（《千金方》）
119,"胡燕窠土
",小儿丹毒,向阳燕窠土，为末，鸡子白和敷。（《卫生易简方》）
120,"胡燕窠土
",一切恶疮,燕窠内外泥粪，研细，油调搽。一加黄柏末。（《瑞竹堂方》）
121,"土蜂窠
",女人难产,土蜂儿窠，水泡汤饮之。取时逢单是男，双是女，最验。（《妇人良方》）
122,"土蜂窠
",肿毒痛,陈藏器《本草》∶用醋和泥蜂窠，涂之。《直指》∶加川乌头等分，云未结则散，已结则破也。
123,"土蜂窠
",疔疮肿痛,土蜂窠（）、蛇皮（烧）等分。酒服一钱。（《直指方》）
124,"土蜂窠
",咽喉乳蛾,土蜂窠一个。为末。先用楮叶擦破病患舌，令血出。以醋和末，用翎点之。令痰涎出为效。后用扁竹根擂水服数口，取利。（《瑞竹堂方》）手足发指毒痛不可忍。用壁间泥蜂窠为末，入乳香少许研匀，以醋调涂，干即以醋润之。（《奇效方》）
125,"土蜂窠
",蠼尿疮,螟蛉窠，水调敷之。（《集玄方》）
126,"蚯蚓泥
",断截热疟,邵氏《青囊方》∶用五月五日午时取蚯蚓粪，以面和丸梧子大，朱砂为衣。每服三丸，无根水下。忌生冷，即止。皆效。或加菖蒲末、独蒜头同丸。
127,"蚯蚓泥
",伤寒谵语,蚯蚓屎，凉水调服。（《简便方》）
128,"蚯蚓泥
",小便不通,蚯蚓粪、朴硝等分。水和敷脐下，即通。（《皆效方》）
129,"蚯蚓泥
",小儿吐乳,取田中地龙粪一两，研末，空心以米汤服半钱，不过二、三服效。（《圣惠方》）
130,"蚯蚓泥
",小儿卵肿,地龙粪，以薄荷汁和涂之。（危氏《得效方》）
131,"蚯蚓泥
",妇人吹乳,用韭地中蚯蚓屎，研细筛过，米醋调，浓敷，干则换，三次即愈。凉水调亦可。（蔺氏《经验方》）
132,"蚯蚓泥
",时行腮肿,柏叶汁，调蚯蚓泥涂之。（丹溪方）
133,"蚯蚓泥
",一切丹毒,水和蛐泥敷之。（《外台》）脚心肿痛，因久行久立致者。以水和蚯蚓粪浓敷，一夕即愈。（《永类钤方》）
134,"蚯蚓泥
",耳后月蚀,烧蚯蚓粪，猪脂和敷。（《子母秘录》）
135,"蚯蚓泥
",耳出水成疮,蚯蚓粪，为末敷之，并吹入。（《千金方》）
136,"蚯蚓泥
",齿宣露,蚯蚓泥，水和成团，赤，研末，腊猪脂调敷之，日三。（《千金方》）
137,"蚯蚓泥
",咽喉骨哽,五月五日午时韭畦中，面东勿语，取蚯蚓泥收之，每用少许，搽喉外，其骨自消，名六一泥。
138,"蚯蚓泥
",蜈蚣螫伤,蚯蚓泥敷之，效。（《集效方》）
139,"蚯蚓泥
",金疮困顿,蚯蚓屎末，水服方寸匕，日三服。（《千金方》）
140,"蚯蚓泥
",解射罔毒,蚯蚓屎末，井水服二方寸匕。（《千金方》）
141,"蚯蚓泥
",吐血不止,石榴根下地龙粪，研末，新汲水服三钱。（《圣惠》）
142,"蚯蚓泥
",反胃转食,地龙粪一两，木香三钱，大黄七钱。为末。每服五钱，无根水调服。忌煎爆酒醋椒姜热物。一、二服，其效如神。（邵真人《经验方》）
143,"蚯蚓泥
",燕窝生疮,韭地蛐屎，米泔水和，过，入百草霜等分。研末，香油调涂之。（《摘玄方》）
144,"蚯蚓泥
",小儿头热，鼻塞不通,湿地龙粪研饼，贴囟上，日数易之。（《圣惠方》）
145,"蚯蚓泥
",足烂疮,韭地蚯蚓泥，干研，入轻粉，清油调敷。（《便民图纂》）
146,"蚯蚓泥
",外肾生疮,蚯蚓屎二分，绿豆粉一分。水研涂之，干又上之。（《便民图纂》）
147,"粪坑底泥
",疔肿,粪下土、蝉蜕、全蝎等分。捣作钱大饼，香油煎滚，温服。以滓敷疮四围，疔自出也。（《圣济总录》）
148,"檐溜下泥
",蝎虿螫叮,蝎有雌雄∶雄者痛在一处，以井底泥封之，干则易；雌者痛牵诸处，以瓦沟下泥封之。若无雨，以新汲水，从屋上淋下取泥。（《肘后方》）
149,"井底泥
",头风热痛,井底泥和大黄、芒硝末，敷之。（《千金方》）
150,"井底泥
",胎衣不下,井底泥，以鸡子大，井华水服，即下。（《集玄方》）
151,"井底泥
",卧忽不寤,勿以火照，但痛啮其踵及足拇趾甲际，而多唾其面，以井底泥涂其目，令人垂头入井中，呼其姓名，便苏也。（《肘后方》）
152,"井底泥
",小儿热疖,井底泥敷其四围。（《谈野翁方》）
153,"井底泥
",蜈蚣螫人,井底泥频敷之。（《千金方》）
154,"乌爹泥
",鼻渊流水,孩儿茶末，吹之，良。（《本草权度》）
155,"乌爹泥
",牙疳口疮,孩儿茶、硼砂等分。为末搽之。《积德堂方》∶治走马牙疳，用孩儿茶、雄黄、贝母等分。为末，米泔漱净搽之。
156,"乌爹泥
",下疳阴疮,外科用孩儿茶末，米泔洗净，敷之神效。或加胡黄连等分。《纂奇方》∶孩儿茶一钱，珍珠一分，片脑半分，为末敷之。唐氏用孩儿茶一钱，轻粉一分，片脑一字。为末搽之。
