,title,compound,content,medicines
0,夏冰,灭瘢痕,以冻凌频熨之，良。（《千金方》）,夏冰
1,半天河,辟禳时疫,半天河水，饮之。（《医林集要》）,半天河
2,半天河,身体白驳,取树木孔中水洗之，捣桂末唾和敷之，日再上。（张文仲《备急方》）,半天河
3,流水,目不得瞑,乃阳气盛不得入于阴，阴气虚，故目不得瞑。治法饮以半夏汤，用流水千里外者八升，扬之万遍，取其清五升煮之，炊苇薪火，置秫米一升，半夏五合，徐炊令竭为一升半，去滓饮汁一小杯，日三饮，以知为度。详半夏下。（《灵枢经》）,流水、半夏
4,流水,汗后奔豚,茯苓桂枝甘草大枣汤，治发汗后脐下悸，欲作奔豚者。茯苓一两，炙甘草二钱半，桂枝三钱，大枣二枚。以甘澜水二升，先煮茯苓，纳诸药煮服之，日三。（张仲景《金匮要略》）,流水、茯苓、甘草
5,流水,服药过剂烦闷,东流水饮一、二升。（《肘后方》）,流水
6,井华水,九窍出血,方见主治下。,井华水
7,井华水,衄血不止,叶氏用新汲水，随左右洗足即止，累用有效。,井华水
8,井华水,一方,用冷水面。,井华水
9,井华水,一方,冷水浸纸贴囟上，以熨斗熨之，立止。,井华水
10,井华水,一方,用冷水一瓶，淋射顶上及哑门上。或以湿纸贴之。,井华水
11,井华水,金疮血出不止,冷水浸之即止。（《延寿方》）,井华水
12,井华水,犬咬血出,以水洗，至血止，绵裹之。（《千金方》）,井华水
13,井华水,蝎虿螫伤,以水浸故布拓之，暖即易。（《千金方》）马汗入疮或马毛入疮，肿入腹，杀人。以冷水浸之，频易水，仍饮好酒，立瘥。（《千金方》）,井华水
14,井华水,鱼骨哽咽,取水一杯，合口向水，张口取水气，哽当自下。（《肘后方》）,井华水
15,井华水,中砒石毒,多饮新汲井水，得吐利佳。（《集简方》）,井华水
16,井华水,中乌喙毒,方同上。,井华水
17,井华水,中蒙汗毒,饮冷水即安。（《济急方》）,井华水
18,井华水,中煤炭毒,一时晕倒，不救杀人。急以清水灌之。（唐瑶《经验方》）,井华水
19,井华水,服药过剂，卒呕不已,饮新汲水一升。（《肘后方》）,井华水
20,井华水,烧酒醉死,急以新汲水浸其发，外以故帛浸湿，贴其胸膈，仍细细灌之，至苏乃已。（《濒湖集简方》）,井华水
21,井华水,饮酒齿痛,井水频含漱之。（《直指方》）,井华水
22,井华水,破伤风病,用火命妇人取无根水一盏，入百草霜调捏作饼，放患处。三、五换如神，此蒋亚香方也。（《谈野翁试验方》）,井华水、百草霜
23,井华水,坠损肠出,方见主治下。,井华水
24,井华水,眼睛突出一二寸者,以新汲水灌渍睛中，数易之，自入。（《梅师方》）,井华水
25,井华水,时行火眼,患人每日于井上。视井旋匝三遍，能泄火气。（《集玄方》）,井华水
26,井华水,心闷汗出不识人,新汲水和蜜饮之，甚效。（《千金方》）,井华水
27,井华水,呕吐阳厥卒死者,饮新汲水三升佳。（《千金方》）,井华水
